"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Discovering Group/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag"	"Discovery Mag Filter"	"Discovery Date (UT)"	"Sender"	"Ext. catalog/s"
"17071"	"SN 2017bc"	"12:19:50.806"	"-06:51:19.66"	"SN Ia"	"0.027"	"MCG -01-32-001"	""	"ASAS-SN, Pan-STARRS1"	"PESSTO"	"ASAS-SN; Pan-STARRS1"	"ASASSN-17af"	"ASASSN-1 - Brutus, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"16.9"	"V-Johnson"	"2017-01-05 12:00:00"	"Stanek"	""
"17060"	"SN 2017ar"	"11:59:34.299"	"+04:10:40.87"	"SN Ia"	"0.083"	""	""	"Pan-STARRS1"	"PESSTO"	"Pan-STARRS1"	"PS17an"	"PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.88"	"w-PS1"	"2017-01-02 13:59:31"	"PS1_Bot1"	""
"17050"	"SN 2017ai"	"16:17:02.500"	"+10:41:35.10"	"SN Ia"	""	"2017-01-04.6566313"	"0.05027"	"ASAS-SN, GaiaAlerts"	"ASAS-SN"	"ASAS-SN; GaiaAlerts"	"ASASSN-17ae"	"ASASSN-1 - Brutus, Gaia - Gaia-photometric"	"MDM-2.4 - OSMOS"	"1"	"1"	""	"17.46"	"V-Johnson"	"2017-01-04 15:45:32"	"Dong"	""
"17049"	"SN 2017ah"	"11:10:01.955"	"+63:38:34.16"	"SN Ia"	""	"CGCG 314-011"	"0.032863"	"ASAS-SN, GaiaAlerts, Pan-STARRS1"	"ASAS-SN"	"ASAS-SN; GaiaAlerts; Pan-STARRS1"	"ASASSN-17ad"	"ASASSN-1 - Brutus, Gaia - Gaia-photometric, PS1 - GPC1"	"FLWO-1.5m - FAST"	"1"	"1"	""	"17.35"	"V-Johnson"	"2017-01-04 13:16:36"	"Dong"	""
"17048"	"SN 2017ag"	"09:44:32.578"	"-08:10:47.05"	"SN Ia"	"0.096"	""	""	"ATLAS, GaiaAlerts"	"PESSTO"	"ATLAS; GaiaAlerts"	"ATLAS17abb"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.52"	"cyan-ATLAS"	"2017-01-03 14:18:14"	"ATLAS_Bot1"	""
"17046"	"SN 2017ae"	"02:05:50.624"	"+18:22:30.23"	"SN Ia"	"0.022"	""	""	"ATLAS, GaiaAlerts"	"ASAS-SN"	"ATLAS; GaiaAlerts"	"ATLAS17abh"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric"	"MDM-2.4 - OSMOS"	"1"	"1"	""	"18.48"	"cyan-ATLAS"	"2017-01-04 06:54:43"	"ATLAS_Bot1"	""
"17044"	"SN 2017ad"	"14:34:26.167"	"-38:28:11.50"	"SN Ia"	"0.033"	"2MASX J14342552-3828081"	"0.03332"	"ASAS-SN"	"PESSTO"	"ASAS-SN"	"ASASSN-17ac"	"ASASSN-2 - Cassius"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.3"	"V-Johnson"	"2017-01-02 08:23:59"	"Stanek"	""
"17036"	"SN 2017X"	"06:44:50.320"	"-43:54:21.49"	"SN Ia-91T-like"	"0.067"	""	""	"GaiaAlerts"	"PESSTO"	"GaiaAlerts"	"Gaia17aag"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.89"	"G-Gaia"	"2017-01-01 08:00:57"	"Gaia_Bot1"	""
"17014"	"SN 2017B"	"14:36:16.010"	"+29:54:22.60"	"SN Ia"	""	"NGC5685"	""	"GaiaAlerts"	"LOSS"	"GaiaAlerts"	""	"Other - Other, Gaia - Gaia-photometric"	""	"1"	"1"	""	"17.7"	"Clear-"	"2017-01-02 19:02:05"	"Shima"	""
"17010"	"SN 2017A"	"15:57:28.350"	"+30:03:39.10"	"SN Ia"	"0.0328"	"UGC10104"	""	"RANSSP"	"Padova-Asiago"	"RANSSP"	""	"Other - Other"	"Ekar - AFOSC"	"1"	"1"	""	"17.4"	"L-"	"2017-01-01 05:26:01"	"Duszanowicz"	""
"17011"	"SN 2016jgr"	"23:42:37.085"	"-45:41:24.72"	"SN IIn"	"0.0768"	"GALEXASC J234236.73-454123.7"	""	"ASAS-SN"	"ASAS-SN"	"ASAS-SN"	"ASASSN-16pp"	"ASASSN-2 - Cassius"	"LCO-duPont - WFCCD"	"1"	"1"	""	"17.3"	"V-Johnson"	"2016-12-31 01:55:12"	"Stanek"	""
"16993"	"SN 2016jga"	"02:05:38.645"	"-59:47:58.96"	"SN II"	"0.0243"	"AM 0204-600"	"0.0243"	"ASAS-SN, GaiaAlerts"	""	"ASAS-SN; GaiaAlerts"	"ASASSN-16po"	"ASASSN-2 - Cassius, Gaia - Gaia-photometric"	"SOAR - Goodman"	"1"	"1"	""	"17.05"	"V-Johnson"	"2016-12-24 03:21:36"	"Stanek"	""
"16991"	"SN 2016jfy"	"06:39:36.670"	"-65:44:16.15"	"SN Ia"	"0.034"	""	""	"GaiaAlerts"	"PESSTO"	"GaiaAlerts"	"Gaia16cgd"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.3"	"G-Gaia"	"2016-12-28 02:09:36"	"Gaia_Bot1"	""
"16987"	"SN 2016jfu"	"12:54:42.600"	"+28:56:26.00"	"SN IIP"	"0.008"	"NGC4793"	""	"Pan-STARRS1"	""	"Pan-STARRS1"	""	"Other - Other, PS1 - GPC1"	"BAO-2.16m - Phot-spec"	"1"	"1"	""	"16.6"	"Clear-"	"2016-12-30 18:11:44"	"Tsuboi"	""
"16986"	"SN 2016jft"	"09:43:55.870"	"+41:41:17.82"	"SN IIP"	"0.017"	"UGC 5198"	""	"GaiaAlerts"	""	"GaiaAlerts"	""	"Other - Other, Gaia - Gaia-photometric"	"BAO-2.16m - Phot-spec"	"1"	"1"	""	"16.7"	"Clear-"	"2016-12-31 01:12:00"	"cortini"	""
"16952"	"SN 2016jel"	"10:03:04.117"	"-18:58:10.99"	"SN Ia"	"0.056"	""	""	"ATLAS, GaiaAlerts"	"PESSTO"	"ATLAS; GaiaAlerts"	"ATLAS16een"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.79"	"cyan-ATLAS"	"2016-12-25 13:53:45"	"ATLAS_Bot1"	""
"16937"	"SN 2016jdw"	"13:16:19.620"	"+30:40:32.67"	"SN Ib"	"0.0189"	"SDSS J131620.53+304042.0"	""	"PTSS, Pan-STARRS1"	"PTSS"	"Pan-STARRS1; PTSS"	"PTSS-16sjp"	"CNEOST - STA1600, PS1 - GPC1"	"Lijiang-2.4m - YFOSC"	"1"	"1"	""	"17.8"	"r-Sloan"	"2016-12-29 20:22:52"	"Li"	""
"16936"	"SN 2016jdv"	"14:14:31.634"	"+03:11:20.33"	"SN Ia"	"0.029"	"IC 0988"	"0.026934"	"ASAS-SN"	"ASAS-SN"	"ASAS-SN"	"ASASSN-16pl"	"ASASSN-1 - Brutus"	"LCO-duPont - WFCCD"	"1"	"1"	""	"16.4"	"V-Johnson"	"2016-12-29 14:24:00"	"Stanek"	""
"16926"	"SN 2016jdl"	"12:27:39.878"	"+40:36:53.93"	"SN Ia"	"0.0232"	"SDSS J122739.66+403649.0 "	"0.02328"	"ASAS-SN, GaiaAlerts, iPTF"	""	"ASAS-SN; GaiaAlerts; iPTF"	"ASASSN-16pk"	"ASASSN-1 - Brutus, Gaia - Gaia-photometric, P48 - CFH12k"	"BAO-2.16m - Phot-spec"	"1"	"1"	""	"16.7"	"V-Johnson"	"2016-12-29 13:12:00"	"Stanek"	""
"16925"	"SN 2016jdk"	"23:23:03.151"	"-36:14:20.58"	"SN Ia"	"0.0371"	"GALEXASC J232303.16-361420.6"	""	"ASAS-SN"	"ASAS-SN"	"ASAS-SN"	"ASASSN-16pj"	"ASASSN-2 - Cassius"	"LCO-duPont - WFCCD"	"1"	"1"	""	"17.2"	"V-Johnson"	"2016-12-29 01:40:48"	"Stanek"	""
"16924"	"SN 2016jdj"	"13:26:01.990"	"+02:17:00.80"	"SN Ia"	"0.137"	"PGC 1221823"	""	"XOSS"	""	"XOSS"	""	"Other - Other"	"Lijiang-2.4m - YFOSC"	"1"	"1"	""	"18.4"	"Clear-"	"2016-12-28 23:24:57"	"Gao"	""
"16889"	"SN 2016jca"	"06:06:51.430"	"-26:47:29.50"	"SN Ic-BL"	"0.1475"	""	"0.1475"	""	""	""	"SN-GRB161219B"	"VLT-UT1 - FORS2"	"VLT-UT1 - FORS2"	"1"	"1"	""	"19"	"r-Sloan"	"2016-12-25 23:00:00"	"Pian"	""
"16887"	"SN 2016jby"	"10:52:25.890"	"+10:32:38.20"	"SN II"	"0.022"	"NGC 3438"	""	"POSS, GaiaAlerts"	"PESSTO"	"GaiaAlerts; POSS"	""	"Other - Other, Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18"	"Clear-"	"2016-12-27 11:35:45"	"Puckett"	""
"16881"	"SN 2016jbs"	"09:22:08.580"	"-09:45:17.57"	"SN Ia"	"0.055"	""	""	"GaiaAlerts, Pan-STARRS1"	"PESSTO"	"GaiaAlerts; Pan-STARRS1"	"Gaia16cfp"	"Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.96"	"G-Gaia"	"2016-12-25 14:55:40"	"Gaia_Bot1"	""
"16841"	"SN 2016jae"	"09:42:34.510"	"+10:59:35.38"	"SN Ia"	"0.021"	""	""	"ATLAS, GaiaAlerts, Pan-STARRS1"	"PESSTO"	"ATLAS; GaiaAlerts; Pan-STARRS1"	"ATLAS16eay"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.42"	"cyan-ATLAS"	"2016-12-22 14:32:38"	"ATLAS_Bot1"	""
"16838"	"SN 2016jab"	"07:05:26.707"	"-76:00:33.48"	"SN Ia"	"0.0215"	""	""	"ASAS-SN"	"ASAS-SN"	"ASAS-SN"	"ASASSN-16pd"	"ASASSN-2 - Cassius"	"LCO-duPont - WFCCD"	"1"	"1"	""	"16.3"	"V-Johnson"	"2016-12-23 05:16:48"	"Stanek"	""
"16832"	"SN 2016izv"	"10:06:45.490"	"-06:11:45.89"	"SN Ia"	"0.063"	""	""	"GaiaAlerts, Pan-STARRS1"	"PESSTO"	"GaiaAlerts; Pan-STARRS1"	"Gaia16cep"	"Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.36"	"G-Gaia"	"2016-12-21 01:00:28"	"Gaia_Bot1"	""
"16815"	"SN 2016izf"	"00:33:12.024"	"-84:29:21.31"	"SN Ia"	"0.034"	""	""	"ASAS-SN"	"ASAS-SN"	"ASAS-SN"	"ASASSN-16pa"	"ASASSN-2 - Cassius"	"LCO-duPont - WFCCD"	"1"	"1"	""	"17.17"	"V-Johnson"	"2016-12-22 01:55:12"	"Bose"	""
"16809"	"SN 2016iyz"	"05:52:37.430"	"-17:47:13.02"	"SN II"	"0.0104"	"IC 2151"	"0.010556"	"LOSS, GaiaAlerts"	"PESSTO"	"GaiaAlerts; LOSS"	"kait-16ca"	"Other - Other, Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.3"	"Clear-"	"2016-12-20 09:36:50"	"Zheng"	""
"16808"	"SN 2016iyy"	"06:56:34.618"	"+46:53:38.63"	"SN II"	"0.0286"	""	""	"ATLAS, Pan-STARRS1, iPTF"	"ASAS-SN"	"ATLAS; iPTF; Pan-STARRS1"	"ATLAS16dzt"	"ATLAS1 - ACAM1, PS1 - GPC1, P48 - CFH12k"	"MDM-2.4 - OSMOS"	"1"	"1"	""	"17.38"	"orange-ATLAS"	"2016-12-20 10:35:02"	"ATLAS_Bot1"	""
"16807"	"SN 2016iyx"	"08:43:24.755"	"+37:32:46.11"	"SN Ia"	"0.041"	""	""	"ATLAS"	"ASAS-SN"	"ATLAS"	"ATLAS16dzp"	"ATLAS1 - ACAM1"	"MDM-2.4 - OSMOS"	"1"	"1"	""	"17.28"	"orange-ATLAS"	"2016-12-20 11:21:07"	"ATLAS_Bot1"	""
"16805"	"SN 2016iyv"	"09:00:13.373"	"-13:38:03.19"	"SN Ia-91T-like"	"0.031"	""	""	"ASAS-SN, GaiaAlerts, Pan-STARRS1"	"PESSTO"	"ASAS-SN; GaiaAlerts; Pan-STARRS1"	"ASASSN-16oz"	"ASASSN-1 - Brutus, ASASSN-2 - Cassius, Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"16.8"	"V-Johnson"	"2016-12-20 04:33:36"	"Stanek"	""
"16795"	"SN 2016iyl"	"10:30:56.260"	"+09:43:21.61"	"SN Ia"	"0.087"	""	""	"GaiaAlerts"	"PESSTO"	"GaiaAlerts"	"Gaia16cdo"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.8"	"G-Gaia"	"2016-12-18 00:44:38"	"Gaia_Bot1"	""
"16794"	"SN 2016iyk"	"10:41:06.400"	"+06:31:42.89"	"SN II"	"0.016"	""	""	"GaiaAlerts, Pan-STARRS1"	"PESSTO"	"GaiaAlerts; Pan-STARRS1"	"Gaia16cdn"	"Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.99"	"G-Gaia"	"2016-12-17 18:47:31"	"Gaia_Bot1"	""
"16789"	"SN 2016iyf"	"10:16:34.210"	"+22:05:14.60"	"SN Ia"	"0.041"	""	""	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia16cdi"	"Gaia - Gaia-photometric"	"P60 - SEDM"	"1"	"1"	""	"17.9"	"G-Gaia"	"2016-12-17 18:31:40"	"Gaia_Bot1"	""
"16788"	"SN 2016iye"	"07:45:19.720"	"-71:24:17.90"	"SN IIb"	"0.03"	"NGC2466"	""	"BOSS"	"PESSTO"	"BOSS; PESSTO"	""	"Other - Other"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.4"	"Clear-"	"2016-12-19 11:23:45"	"Parker"	""
"16787"	"SN 2016iyd"	"07:37:09.756"	"-52:19:04.19"	"SN II"	"0.034"	""	""	"ASAS-SN"	"PESSTO"	"ASAS-SN"	"ASASSN-16oy"	"ASASSN-2 - Cassius"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"16.4"	"V-Johnson"	"2016-12-19 06:43:12"	"Stanek"	""
"16786"	"SN 2016iyc"	"22:09:14.280"	"+21:31:17.51"	"SN IIb"	""	"UGC 11924"	"0.012685"	"LOSS, GaiaAlerts"	"LOSS"	"GaiaAlerts; LOSS"	"kait-16bx"	"Other - Other, Gaia - Gaia-photometric"	"Lick-3m - KAST"	"1"	"1"	""	"17"	"Clear-"	"2016-12-18 03:28:00"	"Zheng"	""
"16763"	"SN 2016ixf"	"10:39:44.560"	"+15:02:04.78"	"SN Ia"	"0.068"	""	""	"GaiaAlerts, Pan-STARRS1"	"PESSTO"	"GaiaAlerts; Pan-STARRS1"	"Gaia16cdf"	"Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.14"	"G-Gaia"	"2016-12-17 00:38:52"	"Gaia_Bot1"	""
"16762"	"SN 2016ixe"	"11:12:27.390"	"-06:28:56.06"	"SN Ia"	"0.091"	""	""	"GaiaAlerts"	"PESSTO"	"GaiaAlerts"	"Gaia16cde"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.99"	"G-Gaia"	"2016-12-17 00:59:02"	"Gaia_Bot1"	""
"16759"	"SN 2016ixb"	"04:54:00.038"	"+01:57:46.62"	"SN Ia"	"0.023"	"NPM1G +01.0158"	"0.028343"	"ASAS-SN"	"PESSTO"	"ASAS-SN"	"ASASSN-16ov"	"ASASSN-1 - Brutus"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.6"	"V-Johnson"	"2016-12-17 06:43:12"	"Stanek"	""
"16754"	"SN 2016iww"	"11:41:30.850"	"-09:33:42.48"	"SN Ia"	"0.072"	""	""	"GaiaAlerts"	"PESSTO"	"GaiaAlerts"	"Gaia16ccv"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.58"	"G-Gaia"	"2016-12-15 19:01:55"	"Gaia_Bot1"	""
"16753"	"SN 2016iwv"	"10:37:22.390"	"+25:52:36.26"	"SN Ia"	"0.051"	""	""	"GaiaAlerts"	"PESSTO"	"GaiaAlerts"	"Gaia16ccu"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.31"	"G-Gaia"	"2016-12-16 00:27:21"	"Gaia_Bot1"	""
"16742"	"SN 2016iwk"	"11:37:18.690"	"+01:20:23.89"	"SN Ia"	"0.053"	""	""	"GaiaAlerts, Pan-STARRS1"	"PESSTO"	"GaiaAlerts; Pan-STARRS1"	"Gaia16ccr"	"Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.56"	"G-Gaia"	"2016-12-15 00:51:50"	"Gaia_Bot1"	""
"16725"	"SN 2016ivt"	"11:35:01.737"	"+08:28:25.51"	"SN Ia"	"0.029"	""	""	"ATLAS, GaiaAlerts, Pan-STARRS1"	"PESSTO"	"ATLAS; GaiaAlerts; Pan-STARRS1"	"ATLAS16dzg"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"16.71"	"orange-ATLAS"	"2016-12-14 15:31:40"	"ATLAS_Bot1"	""
"16705"	"SN 2016iuz"	"10:33:53.100"	"+57:03:51.77"	"SN Ia"	"0.0483"	""	""	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia16cbu"	"Gaia - Gaia-photometric"	"Lijiang-2.4m - YFOSC"	"1"	"1"	""	"17.64"	"G-Gaia"	"2016-12-11 23:57:07"	"Gaia_Bot1"	""
"16687"	"SN 2016iuh"	"12:19:31.440"	"+49:49:04.26"	"SN Ia-91bg-like"	"0.013696"	""	""	"GaiaAlerts, Pan-STARRS1"	"ASAS-SN"	"GaiaAlerts; Pan-STARRS1"	"Gaia16cbd"	"Gaia - Gaia-photometric, PS1 - GPC1"	"MDM-2.4 - OSMOS"	"1"	"1"	""	"16.28"	"G-Gaia"	"2016-12-09 06:04:19"	"Gaia_Bot1"	""
"16682"	"SN 2016iuc"	"13:13:26.590"	"+27:48:24.62"	"SN Ia"	"0.021"	""	""	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia16cay"	"Gaia - Gaia-photometric"	"NOT - ALFOSC"	"1"	"1"	""	"16.7"	"G-Gaia"	"2016-12-07 18:24:28"	"Gaia_Bot1"	""
"16668"	"SN 2016ito"	"12:31:09.000"	"-35:55:49.76"	"SN Ia"	"0.02"	"AM 1228-353 NED02"	"0.01992"	"ASAS-SN, GaiaAlerts"	""	"ASAS-SN; GaiaAlerts"	"ASASSN-16oq"	"ASASSN-1 - Brutus, ASASSN-2 - Cassius, Gaia - Gaia-photometric"	"SOAR - Goodman"	"1"	"1"	""	"15.4"	"V-Johnson"	"2016-12-08 08:38:24"	"Stanek"	""
"16665"	"SN 2016itl"	"02:13:03.160"	"-33:38:06.04"	"SN Ia"	"0.043"	""	""	"GaiaAlerts"	"PESSTO"	"GaiaAlerts"	"Gaia16cah"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.86"	"G-Gaia"	"2016-12-03 21:18:43"	"Gaia_Bot1"	""
"16657"	"SN 2016itd"	"14:18:47.740"	"+24:56:27.02"	"SN Ia"	"0.0175"	""	""	"GaiaAlerts, Pan-STARRS1"	""	"GaiaAlerts; Pan-STARRS1"	"Gaia16caa"	"Gaia - Gaia-photometric, PS1 - GPC1"	"Kanata - HOWPol"	"1"	"1"	""	"16.05"	"G-Gaia"	"2016-12-02 06:17:16"	"Gaia_Bot1"	""
"16655"	"SN 2016itb"	"06:08:52.660"	"+50:50:40.60"	"SN Ia"	"0.04"	""	""	"TNTS"	"DAO_OTS"	"TNTS"	""	"BAO-0.6m - BATC"	"Plaskett - Plaskett"	"1"	"1"	""	"17.1"	"Clear-"	"2016-12-06 19:12:00"	"Li"	""
"16639"	"SN 2016isl"	"03:58:12.550"	"+18:34:54.30"	"SN Ia-91T-like"	"0.023"	"NGC1488"	""	"Pan-STARRS1, GaiaAlerts"	"Padova-Asiago"	"GaiaAlerts; Pan-STARRS1"	""	"Other - Other, PS1 - GPC1, Gaia - Gaia-photometric"	"Ekar - AFOSC"	"1"	"1"	""	"17.2"	"Clear-"	"2016-12-06 16:06:07"	"Shima"	""
"16634"	"SN 2016isg"	"01:41:18.542"	"-00:12:37.46"	"SN Ia"	"0.055"	"2MASX J01411858-0012382"	"0.055457"	"ASAS-SN, iPTF"	""	"ASAS-SN; iPTF"	"ASASSN-16oo"	"P48 - CFH12k, ASASSN-1 - Brutus, ASASSN-2 - Cassius"	"NOT - ALFOSC"	"1"	"1"	""	"16.8"	"V-Johnson"	"2016-12-06 01:55:12"	"Stanek"	""
"16631"	"SN 2016isd"	"23:31:54.446"	"-40:45:33.35"	"SN Ia"	"0.045"	"AM 2329-410"	"0.045312"	"ASAS-SN"	""	"ASAS-SN"	"ASASSN-16om"	"ASASSN-2 - Cassius"	"SOAR - Goodman"	"1"	"1"	""	"17.52"	"V-Johnson"	"2016-12-03 03:22:56"	"Dong"	""
"16622"	"SN 2016iru"	"01:10:02.432"	"-70:20:58.19"	"SN Ia"	"0.027"	""	""	"ASAS-SN, GaiaAlerts"	""	"ASAS-SN; GaiaAlerts"	"ASASSN-16ol"	"ASASSN-2 - Cassius, Gaia - Gaia-photometric"	"SOAR - Goodman"	"1"	"1"	""	"17"	"V-Johnson"	"2016-12-04 01:41:13"	"Dong"	""
"16621"	"SN 2016irt"	"00:53:29.450"	"-36:21:54.17"	"SN Ia"	"0.04"	""	""	"ASAS-SN, GaiaAlerts"	""	"ASAS-SN; GaiaAlerts"	"ASASSN-16ok"	"ASASSN-1 - Brutus, Gaia - Gaia-photometric"	"SOAR - Goodman"	"1"	"1"	""	"17.27"	"V-Johnson"	"2016-12-05 00:58:20"	"Dong"	""
"16599"	"SN 2016iqx"	"06:46:51.442"	"-64:57:25.81"	"SN Ia"	"0.03"	"ESO 087-IG 041 NED01"	"0.030208"	"ASAS-SN, GaiaAlerts"	""	"ASAS-SN; GaiaAlerts"	"ASASSN-16of"	"ASASSN-2 - Cassius, Gaia - Gaia-photometric"	"SOAR - Goodman"	"1"	"1"	""	"16.7"	"V-Johnson"	"2016-12-01 06:37:29"	"Stanek"	""
"16568"	"SN 2016ips"	"05:32:09.379"	"-02:04:23.88"	"SN Ia"	"0.025"	"SDSS J053208.29-020407.9"	""	"ASAS-SN, iPTF"	"Padova-Asiago"	"ASAS-SN; iPTF"	"ASASSN-16oj"	"P48 - CFH12k, ASASSN-2 - Cassius"	"Ekar - AFOSC"	"1"	"1"	""	"17"	"V-Johnson"	"2016-12-05 03:21:36"	"Stanek"	""
"16557"	"SN 2016ipi"	"05:48:27.020"	"-23:19:25.39"	"SN Ia"	""	"2MASX J05482726-2319189"	"0.046072"	"ASAS-SN"	"ASAS-SN"	"ASAS-SN"	"ASASSN-16nv"	"ASASSN-2 - Cassius"	"FLWO-1.5m - FAST"	"1"	"1"	""	"17.4"	"V-Johnson"	"2016-11-27 07:12:00"	"Holoien"	""
"16554"	"SN 2016ipf"	"08:07:13.145"	"+05:40:59.69"	"SN Ia"	"0.021"	""	""	"ATLAS, Pan-STARRS1"	"Padova-Asiago"	"ATLAS; Pan-STARRS1"	"ATLAS16dyo"	"ATLAS1 - ACAM1, PS1 - GPC1"	"Ekar - AFOSC"	"1"	"1"	""	"17.55"	"cyan-ATLAS"	"2016-11-28 14:49:55"	"ATLAS_Bot1"	""
"16550"	"SN 2016ipb"	"11:54:52.920"	"-28:37:27.73"	"SN Ia"	"0.088"	""	""	"GaiaAlerts, Pan-STARRS1"	"PESSTO"	"GaiaAlerts; Pan-STARRS1"	"Gaia16byv"	"Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.25"	"G-Gaia"	"2016-11-27 15:04:19"	"Gaia_Bot1"	""
"16543"	"SN 2016iou"	"01:24:26.610"	"-02:08:26.05"	"SN Ia"	"0.042"	""	""	"GaiaAlerts, Pan-STARRS1"	"Padova-Asiago"	"GaiaAlerts; Pan-STARRS1"	"Gaia16byl"	"Gaia - Gaia-photometric, PS1 - GPC1"	"Ekar - AFOSC"	"1"	"1"	""	"17.39"	"G-Gaia"	"2016-11-26 03:50:24"	"Gaia_Bot1"	""
"16542"	"SN 2016iot"	"16:38:51.200"	"+39:48:51.73"	"SN IIL"	"0.031"	""	""	"GaiaAlerts, Pan-STARRS1"	"NUTS"	"GaiaAlerts; Pan-STARRS1"	"Gaia16byk"	"Gaia - Gaia-photometric, PS1 - GPC1"	"NOT - ALFOSC"	"1"	"1"	""	"16.69"	"G-Gaia"	"2016-11-26 05:42:43"	"Gaia_Bot1"	""
"16541"	"SN 2016ios"	"12:28:52.640"	"-11:38:59.71"	"SN II"	"0.017"	""	""	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia16byj"	"Gaia - Gaia-photometric"	"NOT - ALFOSC"	"1"	"1"	""	"18.05"	"G-Gaia"	"2016-11-25 18:57:36"	"Gaia_Bot1"	""
"16539"	"SN 2016ioq"	"10:03:22.890"	"-37:23:44.34"	"SN Ia"	"0.026"	""	""	"GaiaAlerts"	"PESSTO"	"GaiaAlerts"	"Gaia16byh"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"16.89"	"G-Gaia"	"2016-11-25 19:43:40"	"Gaia_Bot1"	""
"16534"	"SN 2016iol"	"11:41:56.167"	"+12:35:09.96"	"SN Ia"	""	"CGCG 068-029"	"0.034215"	"ASAS-SN"	"ASAS-SN"	"ASAS-SN"	"ASASSN-16nt"	"ASASSN-2 - Cassius, ASASSN-1 - Brutus"	"FLWO-1.5m - FAST"	"1"	"1"	""	"17.1"	"V-Johnson"	"2016-11-27 14:24:00"	"Stanek"	""
"16529"	"SN 2016iog"	"10:04:18.590"	"+43:25:29.14"	"SN II"	"0.038"	"GALEXASC J100418.99+432525.7"	""	"ASAS-SN, GaiaAlerts"	"Padova-Asiago"	"ASAS-SN; GaiaAlerts"	"ASASSN-16ns"	"ASASSN-1 - Brutus, Gaia - Gaia-photometric"	""	"1"	"1"	""	"17.2"	"V-Johnson"	"2016-11-27 13:26:24"	"Stanek"	""
"16518"	"SN 2016inv"	"07:56:47.698"	"+37:49:13.43"	"SN Ia"	"0.043"	""	""	"ATLAS"	"Padova-Asiago"	"ATLAS"	"ATLAS16dye"	"ATLAS1 - ACAM1"	"Ekar - AFOSC"	"1"	"1"	""	"17.78"	"cyan-ATLAS"	"2016-11-26 12:01:26"	"ATLAS_Bot1"	""
