52
16.950  -8.388 
17.050  -8.230 
17.150  -8.068 
17.250  -7.915 
17.350  -7.767 
17.450  -7.624 
17.550  -7.494 
17.650  -7.373 
17.750  -7.270 
17.850  -7.182 
17.950  -7.108 
18.050  -7.049 
18.150  -7.001 
18.250  -6.965 
18.350  -6.939 
18.450  -6.917 
18.550  -6.896 
18.650  -6.880 
18.750  -6.865 
18.850  -6.853 
18.950  -6.833 
19.050  -6.822 
19.150  -6.804 
19.250  -6.790 
19.350  -6.779 
19.450  -6.782 
19.550  -6.766 
19.650  -6.773 
19.750  -6.780 
19.850  -6.805 
19.950  -6.814 
20.050  -6.838 
20.150  -6.851 
20.250  -6.869 
20.350  -6.890 
20.450  -6.920 
20.550  -6.944 
20.650  -7.006 
20.750  -7.002 
20.850  -7.042 
20.950  -7.162 
21.050  -7.187 
21.150  -7.222 
21.250  -7.296 
21.350  -7.504 
21.450  -7.421 
21.550  -7.715 
21.650  -7.674 
21.750  -7.826 
21.850  -8.262 
21.950  -8.105 
22.050  -8.067 
